Id,Url,Heb Date,En Date,Rabby,Title,Question,Answer
257024,https://www.hidabroot.org/question/257024,"כ""ד כסלו התשע""ט ",02.12.18,https://www.hidabroot.org/question/134680,משחק כדורגל על דשא,"לרב שלום,
אנו אוהבים לשחק כדורגל וקשה לנו מאד לא לשחק על דשא בשבת. האם יש דרך שבה מותר לשחק כדורגל על הדשא?
האם מותר לשחק על דשא סינטטי?",https://www.hidabroot.org/question/134680
257041,https://www.hidabroot.org/question/257041,"כ""ד כסלו התשע""ט ",02.12.18,בנימין שמואלי,אוטוסקיילינג בשבת,"כבוד הרב שלום,
בחברת התוכנה בה אני עובד ישנו מנגנון שנקרא auto scaling - מנגנון שדוגם את ההתנהגות של המערכת ומחליט האם יש צורך להקצות עבורה משאבים נוספים. רציתי לדעת האם זה נחשב חילול שבת לאפשר למערכת כזאת לרוץ ולהדליק / לכבות מחשבים באופן אקטיבי על דעת עצמה, או שיש להגדיר מראש משאבים מקסימליים ליום השבת (שזה כמובן יקר יותר)
תודה מראש,
יהודה","שלום וברכה
אינני מבין בזה.
אציע להתייעץ עם המכון הטכנולוגי להלכה טלפון: 02-642-4880 
בהצלחה,
בנימין שמואלי"
256988,https://www.hidabroot.org/question/256988,"כ""ג כסלו התשע""ט ",01.12.18, ,איך אפשר לשמור שבת בבית שלא שומר שבת,"שלום כבוד הרב
ברצוני לנסות לשמור שבת אך המציאות קשה מידי כדי להצליח בזה , יש לציין שאני גדלתי בבית שאין שמירת שבת או חגים , כמבון בחגים עושים את הברכות שצריך אבל שבת לא שומרים בחיים לא שמרתי שבת , ואני רוצה לנסות , התחלתי לנסות לא לגעת בפלאפון כמה שיותר אך טלויזיה אני רואה , כמובן שקניתי מיחם ומשתמשת בו ולא בקומקום , הבעיה היא שאנו גרים בבית קטן אני ואחיתי באותו החדר וגם אם ארצה לא לראות טלויזיה אני לא יצליח ,
איך אפשר לנסות ולהתעלות על יצר הרע ? ואיך אפשר לשמור בבית שלא שומר ? מה הדין למי שלא שומר שבת ?
תודה רבה
אנונימית","שלום וברכה
את נחשבת כעת כשומרת שבת כאשר את כל כך שומרת ונזהרת מכל חילול שבת אפשרי, למרות שאת עדיין נכשלת בראיית הטלוויזיה בשבת. אמת שאין לצפות בטלוויזה בשבת אולם אין זה נחשב כאילו אינך שומרת כלל.
אם את לא מכוונת לצפות בטלוויזה ורואה זאת בעל כרחך מאחר ואת באותו חדר עם אחותך, אין זה נחשב כלל לחטא עבורך כי את לא אשמה בכך שאחרים צופים בטלוויזיה.
המשיכי והתחזקי בשמירת שבת שגדולה מעלתה עד מאוד כפי שתוכלי לראות https://www.hidabroot.org/question/26718
כך תזכי לכל הברכות ולכל הישועות.
בברכה,
בנימין שמואלי
 
 "
256911,https://www.hidabroot.org/question/256911,"כ""א כסלו התשע""ט ",29.11.18,הלל מאירס,לימוד מתמטיקה בשבת,האם מותר ללמוד מתמטיקה בשבת (כמובן בלי לכתוב אלא רק ללמוד/לקרוא את הכללים)? תודה רבה,"שלום רב,
מעיקר הדין מותר ללמוד מתמטיקה בשבת. אמנם אם יש אפשרות להימנע מזה - טוב להחמיר.
מקורות: יעויין שלחן ערוך אורח חיים (סימן שז סעיף יז) שהביא מחלוקת ראשונים אם מותר ללמוד ספרי חכמות בשבת. וכתב המשנה ברורה (ס""ק סה) שנוהגין להקל, אלא שהביא בשם האליה רבה, שירא שמים ראוי להחמיר בזה. וכן ע""ע בספר חזון עובדיה שבת חלק ו' (עמודים עב-עג) שכתב להתיר ללמוד ספרי רפואות וכיוצא בזה. ונראה מדבריו שם, שבכל זאת טוב להחמיר בדבר. 
וגם אם לומדים לשם מבחן שמתקיים ביום חול, אין בזה איסור של מכין משבת לחול, ובפרט אם יש הנאה מעצם הידע שמתווסף תוך כדי הלימוד, יעויין בספר שמירת שבת כהלכתה חלק א' (פרק כח סעיף צב) ובשו""ת ודרשת וחקרת חלק א' (חלק אורח חיים סימן מד).
אולם אסור ללמוד בשבת דברים שאסור לעשות בשבת, ולדוגמא, אסור ללמוד תאוריה של נהיגה בשבת, היות שהנהיגה עצמה אסורה בשבת, וכמו שכתב בספר חזון עובדיה שם חלק ו' (תחילת עמוד עג).
בברכה,
הלל מאירס"
256912,https://www.hidabroot.org/question/256912,"כ""א כסלו התשע""ט ",29.11.18,הלל מאירס,איך להחזיק כוס של קידוש?,"שלום כבוד הרב,
יש לי שאלה, האם יש דרך מסוימת להחזיק את כוס ההבדלה / הקידוש? כי שמעתי כל מיני דעות לכך.
אם כן אז מה היא הדרך? (ואשמח לשמוע את דעתו של הרב עובדיה יוסף זצוק''ל בלבד).
ובאיזה יד מחזיקים? תודה רבה הרב.","שלום רב,
יש לקבל את הכוס של קידוש והבדלה בשתי ידיו, וכשמתחיל לברך צריך ליטול את הכוס ולהחזיקו רק ביד ימין ללא סיוע מיד שמאל. ויש להגביה את הכוס מעל השלחן שיעור טפח - דהיינו 8 ס""מ. ועל פי הקבלה נכון שיעמיד את הכוס על כף יד ימין והאצבעות יהיו זקופים סביב.

מקורות: שלחן ערוך (סימן קפג סעיף ד) ומשנה ברורה (ס""ק טו) לגבי כוס של ברכת המזון. ומבואר בשלחן ערוך (סימן רעא סעיף י) ובמשנה ברורה (ס""ק מד) שהוא הדין לגבי כוס של קידוש. ע""ש.
בברכה,
הלל מאירס"
256888,https://www.hidabroot.org/question/256888,"כ' כסלו התשע""ט ",28.11.18,הלל מאירס,האם מותר לשרוק בשבת?,"האם מותר לשרוק בשבת?
לא מנגינה אלא לקרוא למישהו. תודה רבה","שלום רב,
מותר לשרוק בפה בשבת אפילו במנגינה, אולם על ידי משרוקית אסור.
מקורות: ההיתר לשרוק בשבת בפה מבואר ברמ""א אורח חיים (סימן שלח סעיף א) ובמשנה ברורה (סק""ג). ויעויין בערוך השלחן (שם סעיף ז) שההיתר הוא גם בשריקה על ידי האצבעות. אולם ראה בשו""ת משנה הלכות חלק ד' (סימן נב אות ב) שחולק על הערוך השלחן. וע""ע בשו""ת נשמת שבת חלק ו' (סימן שסב). וראה בחזון עובדיה שבת חלק ה' (עמוד רלו) ושמירת שבת כהלכתה חלק א' (פרק טז סעיף ב) שאסור לשרוק בשבת ע""י משרוקית.
בברכה,
הלל מאירס"
256905,https://www.hidabroot.org/question/256905,"כ' כסלו התשע""ט ",28.11.18,הלל מאירס,הדלקת נרות שבת עם נרות חימום,"האם מותר להדליק נרות שבת בנרות חימום?
(כתוב על האריזה לחימום פלטות, לתאורה ולקידוש). תודה.","שלום רב,
מותר.
בברכה,
הלל מאירס"
256777,https://www.hidabroot.org/question/256777,"י""ח כסלו התשע""ט ",26.11.18,הלל מאירס,האם צריך לחנך ילד קטן שלא לגעת במוקצה בשבת?,"יש לנו ברוך השם ילד בן שלוש האם צריך בשבת לומר לו לא לגעת או לעשות דברים שהם מוקצה.
תודה רבה","שלום רב,
כן, אתם צריכים לחנך אותו שלא לגעת במוקצה בשבת. 
מקורות: ראה משנה ברורה (סימן שמג בשער הציון ס""ק טו) שמוטל על האב להפריש את בנו אפילו מאיסור דרבנן משהוא בר הבנה. וכתב בשו""ת חקרי לב (חלק אורח חיים סימן ע ד""ה וראיתי) שהגדר הוא אם לאחר שאביו גוער בו פורש מן האיסור וגם אחר כך לא יעשה אפילו שלא בפניו. וע""ע בשו""ת אז נדברו חלק ו' (סימן נז) ד""בר הבנה"" אינו בפחות מג' שנים. ואמנם מי שרואה שבנו חריף ביותר ומחנכו מב' שנים יש לו על מה לסמוך. ע""ש.
בברכה,
הלל מאירס"
256665,https://www.hidabroot.org/question/256665,"ט""ז כסלו התשע""ט ",24.11.18,הלל מאירס,האם מותר להשתמש במתנה שנסעה בשבת?,"קיבלתי מתנה ממישהי שנסעה בשבת והביאה לי ואני שומרת שבת, האם מותר לי להשתמש בה ואם לא מה עלי לעשות? תודה","שבוע טוב,
עכשיו לאחר צאת השבת מותר לך להשתמש במתנה - ראי https://www.hidabroot.org/question/255799
בברכה,
הלל מאירס"
256543,https://www.hidabroot.org/question/256543,"י""ג כסלו התשע""ט ",21.11.18,הלל מאירס,הדלקת נרות שבת כשמתארחים אצל ההורים,אם אני מתארחת שבת אצל חמותי האם אני יכולה לברך בהדלקת נרות או יש לחשוש מברכה לבטלה? והאם אותו הדין שאני מתארחת בבית הורי? תודה רבה,"שלום רב,
אם יש לך חדר מיוחד שאין אחרים משתמשים בו כשאת מתארחת - למנהג הספרדים את צריכה להדליק באותו חדר ולברך על הדלקה זו, ולדאוג שהנרות יהיו דלוקים עד שאת הולכת לישון. ואם את מברכת על נרות שאת מדליקה ליד בעלת הבית יש בזה חשש ברכה לבטלה. אולם למנהג האשכנזים את יכולה להדליק עם ברכה כרגיל ליד בעלת הבית.
מקורות: מנהג הספרדים הוא על פי המבואר בשלחן ערוך (סימן רסג סעיף ח) ב' או ג' בעלי בתים אוכלים במקום אחד יש אומרים שכל אחד מברך על מנורה שלו, ויש מגמגם בדבר, ונכון ליזהר בספק ברכות ולא יברך אלא אחד. ועל פי זה כתב בספר אור לציון חלק ב' (פרק יח תשובה ו) שאישה שמתארחת בשבת אצל חמיה או במקום אחר, אם יש לה חדר מיוחד, שאין אחרים משתמשים בו כלל ואפילו לקחת חפצים מהארונות שם וכדומה, תדליק באותו חדר ותברך על הדלקה זו. ואם מדליקה באותו מקום שמדליקה בעלת הבית אין לה לברך, שכיון שיש בזה מחלוקת, ספק ברכות להקל. וכ""כ בחזון עובדיה שבת חלק א' (עמוד קצד) שמי ששובת יחד עם אשתו אצל הוריו, ויש להם חדר מיוחד לשינה, תדליק החמות בחדר האוכל בברכה, וכלתה תדליק בברכה בחדרה, וצריכה לתת הרבה שמן בנר שיעור שיספיק להדליק עד עת השינה. ע""ש. אולם הרמ""א שם כתב, אבל אנו אין נוהגין כן, וכתב המשנה ברורה (ס""ק לז) אלא כדעה הראשונה.
בברכה,
הלל מאירס"
